Name,Value,EW,Ewerr
Nv1238.82,1239.01,0.14±0.02,
Nv1242.80,1243.01,0.07±0.02,
Sii1250.58,1249.95,0.15±0.02,
Sii1253.52,1252.91,0.24±0.02,
Sii1259.52,1259.95,1.26±0.02,
Siii1260.42,1260.42,,
Siii*1264.74,1264.58,0.66±0.02,
Ci1277.25,1277.51,0.09±0.02,
Oi1302.17,1302.97,2.29±0.02,
Siii1304.37,1304.37,,
Oi*,1304.86,,
Siii*1309.28,1309.32,0.27±0.02,
Niii1317.22,1318.00,0.11±0.02,
Ci1328.83,1328.95,0.08±0.01,
Ci*,1329.09,,
Cii1334.53,1334.99,1.73±0.02,
Cii*,1335.71,,
Cli1347.24,1347.01,0.20±0.02,
Niii1370.13,1370.51,0.13±0.02,
Siiv1393.76,1393.51,0.95±0.02,
Siiv1402.77,1402.61,0.68±0.02,
Gaii1414.40,1414.95,0.16±0.02,
Niii1415.72,,,
CO1477.5,1478.4,0.21±0.02,
Siii1526.71,1526.02,0.93±0.02,
Siii*1533.43,1533.51,0.42±0.02,
Coii1539.47,1539.00,0.03±0.01,
Civ1548.20,1548.33,2.18±0.03,
Civ1550.77,,,
Ci1560.31,1559.51,0.09±0.02,
Feii*1602.49,1602.56,0.08±0.01,
Feii1608.45,1608.08,0.85±0.02,
Feii1611.20,1610.81,0.18±0.02,
Feii*1634.35 ,1637.55,0.50±0.02,
Feii*,1636.33,,
Feii*,1639.40,,
Ci1656.93,1657.02,0.14±0.02,
Ci*,1656.27,0.14±0.02,
Alii1670.79,1670.58,1.04±0.02,
Sii1693.29,1693.03,0.07±0.02,
Niii1703.41,1702.48,0.14±0.02,
Niii1709.60,1709.45,0.08±0.02,
Niii1741.55,1742.02,0.14±0.02,
Mgi1747.79,1748.02,0.05±0.01,
Niii1751.92,1752.06,0.09±0.02,
Niii1804.47,1805.31,0.03±0.01,
Si1807.31,1808.14,0.29±0.02,
Siii1808.01,,,
Siii*1816.93,1816.95,0.12±0.01,
Siii*1817.45,,,
Mgi1827.93,1827.87,0.09±0.02,
Niii1842.89,1844.27,0.12±0.02,
Aliii1854.72,1854.83,0.89±0.02,
Aliii1862.79,1863.56,0.68±0.02,
Fei1875.16,1874.46,0.10±0.01,
Fei1883.78,1882.67,0.17±0.02,
Siiii1892.03,1890.58,0.10±0.02,
Feii1901.77,1901.36,0.14±0.02,
Tiii1905.77,1905.99,0.11±0.02,
Tiii1910.75,1910.56,0.14±0.02,
Fei1937.27,1938.04,0.09±0.02,
Coii2012.17,2010.99,0.06±0.02,
Crii2017.57,2017.61,0.08±0.02,
Znii2026.14Crii2026.27 ,2025.97,0.60±0.02,
Mgi2026.48,,,
Crii2056.26,2055.51,0.19±0.02,
Crii2062.23,2062.67,0.53±0.02,
Znii2062.66,,,
Crii2066.16,2066.29,0.12±0.02,
Niii*2166.23Fei2167.45,2167.65,0.26±0.02,
Niii*2175.22,2175.83,0.07±0.01,
Mni2185.59,2186.96,0.51±0.02,
Niii*2217.2,2217.02,0.24±0.01,
Niii2223.0,2224.98,0.07±0.01,
Feii2249.88,2250.02,0.31±0.02,
Feii2260.78,2261.00,0.38±0.02,
Niii2316.7,2316.36,0.19±0.02,
Feii**2328.11,2327.65,0.10±0.02,
Feii*2333.52,2333.30,0.34±0.02,
Feii2344.21,2346.0,11.74±0.02,
Feii*2359.83,2360.01,0.28±0.01,
Feii*2365.55,2365.40,0.18±0.01,
Feii2374.46,2374.46,1.00±0.02,
Feii*2381.49 ,2383.59,1.65±0.02,
Feii2382.77,,,
Feii*,2383.79,,
Feii*2396.15 ,2396.50,0.71±0.02,
Feii*,2396.36,,
Feii*,2399.98,,
Feii*2405.16,2406.04,0.40±0.02,
Feii*,2407.39,,
Feii*2411.25 ,2411.68,0.51±0.03,
Feii*,2411.80,,
Feii*,2414.05,,
Scii2561.00,2562.52,0.18±0.01,
Scii2563.97,,,
Mnii2576.88,2577.04,0.45±0.02,
Feii2586.65,2586.49,1.33±0.02,
Mnii2594.50,2594.36,0.45±0.02,
Feii*2599.15,2600.23,1.85±0.03,
Feii2600.17,,,
Mnii2606.46,2607.53,0.56±0.01,
Feii*,2607.87,,
Feii*2612.65,2613.11,0.51±0.01,
Feii*,2614.61,,
Feii*2621.19 ,2629.82,0.90±0.02,
Feii*,2622.45,,
Feii*,2626.45,,
Feii*,2629.08,,
Feii*,2631.83,,
Feii*,2632.11,,
Mgii2796.35,2796.21,1.71±0.02,
Mgii2803.53,2803.50,1.47±0.02,
Mgi2852.96,2852.97,0.78±0.01,
Fei2967.77,2966.24,0.05±0.01,
Fei2984.44,2983.49,0.05±0.01,
Tiii3073.88,3076.01,0.08±0.01,
Tiii3242.93,3239.56,0.11±0.01,
Tiii3384.74,3385.85,0.15±0.02,
Caii3934.78,3933.97,0.76±0.02,
Caii3969.59,3969.98,0.66±0.02,
Cai4227.92,4226.93,0.11±0.02,
MgH5209.45,5210.75,0.09±0.02,
